master_protein,0h_1_total,0h_2_total,0h_3_total,6h_1_total,6h_2_total,6h_3_total,6h_4_total,23h_1_total,23h_2_total,23h_3_total,0h_1_OOPS,0h_2_OOPS,0h_3_OOPS,6h_1_OOPS,6h_2_OOPS,6h_3_OOPS,6h_4_OOPS,23h_1_OOPS,23h_2_OOPS,23h_3_OOPS
Q8IVH8,-1.651077417,-1.897809873,-2.122672719,-2.340714358,-2.284470263,-1.561952523,-2.228409357,-1.994603233,-1.852789562,-1.214415655,-1.830554538,-2.393051759,-1.429919299,-1.721319403,-1.89683245,-1.688055994,-1.52270829,-1.338160049,-1.848630089,-2.291118267
Q8IVS2,-1.496749271,-1.897809873,-1.537710218,-2.108351648,-1.924574318,-1.934995933,-2.068752691,-2.048042492,-2.012570006,-2.718182073,0.339370463,0.566306256,0.812281603,0.106727914,0.30785797,0.177642915,-0.087569585,-1.055034225,-0.121779839,0.187535332
Q8IW35,-1.137668177,-0.949209026,-0.85064953,-0.969223162,-0.472542611,-0.879891334,-0.727715773,-1.041253326,-0.746289941,-0.683608924,-0.59724083,-0.931193403,-0.212521788,-1.003938205,-1.099566345,-1.204920978,-0.919460437,-0.97662788,-1.05483868,-0.925704145
Q8IWA0,0.040384705,-0.039828878,0.145986236,-0.084333888,-0.011451769,-0.02534872,0.081187936,-0.446166608,-0.247608782,-0.504660682,0.251694442,0.220952313,0.466285748,0.371015048,0.381671448,0.339033281,0.119692347,0.338228692,0.356720961,0.54060786
Q8IWJ2,0.250892394,0.184268185,0.210989536,0.192961878,0.128812895,0.224820273,0.210411982,0.122386508,0.12596702,0.10751244,-0.109018985,0.072197186,-0.230310274,-0.700931406,-0.773257765,-0.690623067,-0.610723289,-0.450760971,-0.55855086,-0.574157349
Q8IWX8,-0.094737768,-0.043660739,-0.122950187,-0.213927007,-0.194543382,-0.151752007,-0.160664751,-0.11885066,-0.159527446,-0.223203672,0.507192435,0.588923865,0.548412339,0.707650202,0.856197717,0.775555896,0.700639748,1.070976197,1.228588481,1.068721831
Q8IWZ3,-0.988724884,-0.912309443,-1.225432293,-0.897931868,-0.938695426,-1.074570382,-0.917264938,-0.637691146,-0.711588849,-1.05465052,-0.950515162,-0.960092352,-0.821364388,-0.91782919,-0.88398765,-0.704824207,-1.147597914,-0.640380472,-0.546237599,-0.66420045
Q8IWZ8,-0.665694513,-0.616853559,-0.633386696,-0.48611827,-0.401283928,-0.485272206,-0.455445565,-0.378288313,-0.478310945,-0.441085548,-0.608162117,-0.669506681,-0.86404264,-0.303582754,-0.437045444,-0.571099847,-0.766730728,-0.431373211,-0.190647337,-0.263786285
Q8IX12,0.795819109,0.668152804,0.566514601,0.533595584,0.416709109,0.458672328,0.508863161,0.522557911,0.474016824,0.471937425,-0.156324699,-0.307685859,0.002465444,-0.174068617,-0.112561141,-0.293196376,-0.194414994,0.235344164,0.42503998,0.503415967
Q8IX18,-0.063209185,-0.114353219,-0.152739444,-0.126348077,-0.242993627,-0.117540421,-0.110572867,-0.345510394,-0.194117375,0.083007477,-0.281855581,-0.287886916,-0.15743583,-0.618784986,-0.386762502,-0.450175065,-0.494764692,-0.11643477,-0.278442941,-0.304317765
Q8IX90,-1.322957488,-1.537913928,-1.420754072,-1.183817213,-1.118111877,-1.344787263,-1.165836886,-1.014411714,-0.84698394,-0.932522222,-0.590727524,-0.229076024,-0.391649282,-0.642463983,-0.699795603,-0.088209256,-0.489959708,-0.380804386,-0.184008139,-0.283256149
Q8IXI1,-0.10692312,-0.075589601,-0.110104045,-0.59415112,-0.624038517,-0.583803244,-0.449842859,-0.485944099,-0.659780947,-0.616225995,-0.944966328,-0.954824632,-0.812573625,-0.185825579,-0.136597076,0.036028309,0.140256722,-1.172217765,-1.182683958,-0.766071763
Q8IXM3,0.997425138,0.966623923,0.915587856,0.587034843,0.679003861,0.502227439,0.67643341,0.360387395,0.321008449,0.435502288,0.620481159,0.823604293,0.79689857,0.062428906,-0.117108647,-0.230374157,-0.403837825,-0.198818427,-0.035586417,0.169507339
Q8IXT5,-0.187890001,-0.136051817,-0.253898169,-0.536252616,-0.453393741,-0.503789497,-0.522993469,-0.591087603,-0.547504132,-0.420866532,0.823780099,0.683712211,0.817830711,0.596515136,0.146123775,0.30873445,0.074046989,0.350000939,0.318278728,0.390398588
Q8IY33,-0.437497193,-0.390226632,-0.72291568,-0.510389261,-0.632393566,-0.574398096,-0.57284873,-0.483312644,-0.331252441,-0.372457665,-1.506581517,-2.011802573,-1.961583574,-1.676979864,-1.737808929,-1.834134253,-1.867512252,-1.739258357,-1.658086534,-2.158160929
Q8IY37,-0.770012809,-0.656732415,-0.849902986,-0.91282183,-0.838949539,-0.856604481,-0.94773729,-0.813066941,-0.66743452,-0.997184939,0.774727947,0.825518951,0.465550117,0.657815549,0.472022948,0.595756055,0.527621633,0.895195911,0.904311664,0.296469703
